title,author,rating,image,author_link,description,no_of_ratings,published_year,genres
India: A History (Paperback),John Keay,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631073754l/174501._SY75_.jpg,https://www.goodreads.com/author/show/101857.John_Keay,,4129,2000.0,[]
Gandhi: An Autobiography (Paperback),Mahatma Gandhi,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320560971l/112803._SX50_.jpg,https://www.goodreads.com/author/show/5810891.Mahatma_Gandhi,,75887,1927.0,[]
Nine Lives: In Search of the Sacred in Modern India (Paperback),William Dalrymple,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329136130l/6943146._SY75_.jpg,https://www.goodreads.com/author/show/60159.William_Dalrymple,,8776,2009.0,[]
The Glass Palace (Paperback),Amitav Ghosh,4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520866736l/77103._SY75_.jpg,https://www.goodreads.com/author/show/3369.Amitav_Ghosh,,28478,2000.0,[]
Ghachar Ghochar (Paperback),Vivek Shanbhag,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481656773l/30267604._SX50_.jpg,https://www.goodreads.com/author/show/787768.Vivek_Shanbhag,,20524,2013.0,[]
Annihilation of Caste (Paperback),B.R. Ambedkar,4.61,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613727572l/8521879._SY75_.jpg,https://www.goodreads.com/author/show/618535.B_R_Ambedkar,,8988,1936.0,[]
"A Rising Man (Sam Wyndham, #1)",Abir  Mukherjee,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460625686l/25686321._SX50_.jpg,https://www.goodreads.com/author/show/14417102.Abir_Mukherjee,,14077,2016.0,[]
Honor (Hardcover),Thrity Umrigar,4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1640084756l/56271394._SY75_.jpg,https://www.goodreads.com/author/show/127875.Thrity_Umrigar,,76719,2022.0,[]
In Spite of the Gods: The Strange Rise of Modern India (Hardcover),Edward Luce,3.86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925383l/74121._SY75_.jpg,https://www.goodreads.com/author/show/42008.Edward_Luce,,3642,2006.0,[]
Freedom At Midnight (Paperback),Dominique Lapierre,4.33,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365170106l/204123._SX50_.jpg,https://www.goodreads.com/author/show/35333.Dominique_Lapierre,,11407,1975.0,[]
Secret Daughter (Hardcover),Shilpi Somaya Gowda,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347708559l/6905012._SY75_.jpg,https://www.goodreads.com/author/show/3090079.Shilpi_Somaya_Gowda,,78209,2010.0,[]
The God of Small Things (Paperback),Arundhati Roy,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1767305433l/9777._SY75_.jpg,https://www.goodreads.com/author/show/6134.Arundhati_Roy,,334659,1997.0,[]
The White Tiger (Hardcover),Aravind Adiga,3.77,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1710937569l/1768603._SY75_.jpg,https://www.goodreads.com/author/show/810254.Aravind_Adiga,,205268,2008.0,[]
Midnight’s Children (Paperback),Salman Rushdie,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673724335l/14836._SY75_.jpg,https://www.goodreads.com/author/show/3299.Salman_Rushdie,,135169,1981.0,[]
A Fine Balance (Paperback),Rohinton Mistry,4.38,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551173390l/5211._SY75_.jpg,https://www.goodreads.com/author/show/3539.Rohinton_Mistry,,162669,1995.0,[]
The Namesake (Paperback),Jhumpa Lahiri,4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480106986l/33917._SY75_.jpg,https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri,,287240,2003.0,[]
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity (Hardcover)",Katherine Boo,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1315601232l/11869272._SX50_.jpg,https://www.goodreads.com/author/show/4992939.Katherine_Boo,,118436,2012.0,[]
Interpreter of Maladies (Hardcover),Jhumpa Lahiri,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442586143l/5439._SY75_.jpg,https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri,,209123,1999.0,[]
Shantaram (Paperback),Gregory David Roberts,4.28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333482282l/33600._SY75_.jpg,https://www.goodreads.com/author/show/18907.Gregory_David_Roberts,,244804,2003.0,[]
The Covenant of Water (Paperback),Abraham   Verghese,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687600746l/180357146._SX50_.jpg,https://www.goodreads.com/author/show/93353.Abraham_Verghese,,337123,2023.0,[]
Life of Pi (Paperback),Yann Martel,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631251689l/4214._SY75_.jpg,https://www.goodreads.com/author/show/811.Yann_Martel,,1773722,2001.0,[]
A Passage to India (Paperback),E.M. Forster,3.68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421883612l/45195._SY75_.jpg,https://www.goodreads.com/author/show/86404.E_M_Forster,,87025,1924.0,[]
"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329421639l/50365._SY75_.jpg,https://www.goodreads.com/author/show/28345.Vikram_Seth,,50536,1993.0,[]
India After Gandhi: The History of the World's Largest Democracy (Hardcover),Ramachandra Guha,4.39,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500471959l/356824._SY75_.jpg,https://www.goodreads.com/author/show/67629.Ramachandra_Guha,,18407,2007.0,[]
The Inheritance of Loss (Paperback),Kiran Desai,3.47,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327909065l/95186._SY75_.jpg,https://www.goodreads.com/author/show/31428.Kiran_Desai,,57169,2005.0,[]
The Lowland (Hardcover),Jhumpa Lahiri,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366930267l/17262100._SX50_.jpg,https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri,,97239,2013.0,[]
"The Henna Artist (The Jaipur Trilogy, #1)",Alka Joshi,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588690086l/50607466._SX50_.jpg,https://www.goodreads.com/author/show/18257842.Alka_Joshi,,223711,2020.0,[]
Siddhartha (Mass Market Paperback),Hermann Hesse,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629378189l/52036._SY75_.jpg,https://www.goodreads.com/author/show/1113469.Hermann_Hesse,,899247,1922.0,[]
"Sea of Poppies (Ibis Trilogy, #1)",Amitav Ghosh,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1764624662l/1330324._SY75_.jpg,https://www.goodreads.com/author/show/3369.Amitav_Ghosh,,30524,2008.0,[]
"The Widows of Malabar Hill (Perveen Mistry, #1)",Sujata Massey,3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497293192l/35133064._SX50_.jpg,https://www.goodreads.com/author/show/62293.Sujata_Massey,,34478,2018.0,[]
Unaccustomed Earth (Hardcover),Jhumpa Lahiri,4.14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320398140l/85301._SX50_.jpg,https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri,,97560,2008.0,[]
City of Djinns: A Year in Delhi (Paperback),William Dalrymple,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677706997l/124430._SY75_.jpg,https://www.goodreads.com/author/show/60159.William_Dalrymple,,13567,1993.0,[]
"The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire (Hardcover)",William Dalrymple,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565769891l/42972023._SY75_.jpg,https://www.goodreads.com/author/show/60159.William_Dalrymple,,19422,2019.0,[]
The Satanic Verses (Paperback),Salman Rushdie,3.71,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1281988101l/12781._SX50_.jpg,https://www.goodreads.com/author/show/3299.Salman_Rushdie,,72911,1988.0,[]
The Space Between Us (Paperback),Thrity Umrigar,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925898l/218357._SX50_.jpg,https://www.goodreads.com/author/show/127875.Thrity_Umrigar,,53637,2005.0,[]
Kim (Paperback),Rudyard Kipling,3.7,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1756055262l/210834._SY75_.jpg,https://www.goodreads.com/author/show/6989.Rudyard_Kipling,,40511,1901.0,[]
An Era of Darkness: The British Empire in India (Hardcover),Shashi Tharoor,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476625646l/32618967._SX50_.jpg,https://www.goodreads.com/author/show/17287.Shashi_Tharoor,,12917,2016.0,[]
The Palace of Illusions (Hardcover),Chitra Banerjee Divakaruni,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679444666l/1774836._SY75_.jpg,https://www.goodreads.com/author/show/51589.Chitra_Banerjee_Divakaruni,,68611,2008.0,[]
The Ministry of Utmost Happiness (Hardcover),Arundhati Roy,3.56,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520327592l/32388712._SY75_.jpg,https://www.goodreads.com/author/show/6134.Arundhati_Roy,,39978,2017.0,[]
"Eat, Pray, Love (Paperback)",Elizabeth Gilbert,3.65,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414l/19501._SY75_.jpg,https://www.goodreads.com/author/show/11679.Elizabeth_Gilbert,,1859997,2006.0,[]
The Bhagavad Gita (Paperback),Krishna-Dwaipayana Vyasa,4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1769077152l/99944._SY75_.jpg,https://www.goodreads.com/author/show/1782206.Krishna_Dwaipayana_Vyasa,,83471,,[]
A Burning (Hardcover),Megha Majumdar,3.72,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576019976l/51792100._SY75_.jpg,https://www.goodreads.com/author/show/19250455.Megha_Majumdar,,55061,2020.0,[]
Q & A (Paperback),Vikas Swarup,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1225937144l/288644._SY75_.jpg,https://www.goodreads.com/author/show/36667.Vikas_Swarup,,39048,2005.0,[]
Maximum City: Bombay Lost and Found (Vintage),Suketu Mehta,3.95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439218170l/4364._SY75_.jpg,https://www.goodreads.com/author/show/3019.Suketu_Mehta,,11338,2004.0,[]
"The Argumentative Indian: Writings on Indian History, Culture and Identity (Paperback)",Amartya Sen,3.83,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389175338l/10310._SY75_.jpg,https://www.goodreads.com/author/show/82531.Amartya_Sen,,8843,2005.0,[]
The Far Pavilions (Paperback),M.M. Kaye,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403391799l/10222._SX50_.jpg,https://www.goodreads.com/author/show/1040250.M_M_Kaye,,45350,1978.0,[]
Train to Pakistan (Paperback),Khushwant Singh,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599410785l/785454._SY75_.jpg,https://www.goodreads.com/author/show/63189.Khushwant_Singh,,32678,1956.0,[]
Family Matters (Vintage International),Rohinton Mistry,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388279746l/19661._SY75_.jpg,https://www.goodreads.com/author/show/3539.Rohinton_Mistry,,24829,2002.0,[]
The Discovery of India (Paperback),Jawaharlal Nehru,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358746649l/154126._SY75_.jpg,https://www.goodreads.com/author/show/89095.Jawaharlal_Nehru,,8704,1946.0,[]
